chemical    a    b    c    t_min (celsius)    t_max (celsius)
methyl oleate    7.84266    2556.27    171.334    19.9    490.85
methyl octyl sulfide    7.15298    1737.33    199.813    156.85    256.85
methyl octadecyl sulfide    7.20937    2103.03    124    311.85    411.85
methyl nonyl sulfide    7.16824    1809.06    195.094    176.85    276.85
methyl nonadecyl sulfide    7.18259    2111.53    119.001    321.85    421.85
methyl methacrylate    6.95921    1254.41    207.274    -48.2    290.85
methyl mercaptan    7.07246    1008.88    234.729    -122.97    196.8
methyl isopropyl sulfide    7.06781    1326.81    232.139    33    277.85
methyl isopropyl ketone    7.04182    1260.87    208.621    -92    279.85
methyl isopropyl ether    7.17957    1184.12    244.686    -145.22    191.35
methyl isopropenyl ketone    7.12747    1390.61    229.46    -53.6    292.85
methyl isocyanide    6.83764    995.205    192.506    -6.85129    244.707
methyl isocyanate    7.05663    1162.78    239.607    -17    231.85
methyl isobutyl ether    7.1429    1261.86    237.516    -113.15    223.85
methyl iodide    7.33367    1316.43    253.207    -66.45    254.85
methyl hexyl sulfide    7.05063    1575.03    210.873    116.85    216.85
methyl hexadecyl sulfide    7.25728    2069.41    135    287.85    387.85
methyl heptyl  sulfide    7.08052    1717.84    220.489    138.55    238.55
methyl heptadecyl sulfide    7.13143    2069.41    135    301.85    401.85
methyl formate    7.26545    1178.19    236.959    -99    214.05
methyl fluoride    7.17217    755.926    254.481    -141.8    44.55
methyl ethyl sulfide    6.98835    1211.78    228.013    -26    259.65
methyl ethyl ketone    7.29427    1400.37    237.655    -86.67    262.35
methyl ethyl ether    6.62951    760.22    195.446    -113.15    164.65
methyl dodecyl sulfide    7.13871    1863.9    157.9    229.85    329.85
methyl dodecanoate    7.33074    1992.81    180.98    5    438.85
methyl diethanolamine    8.74332    2501.48    179.692    -21    404.85
methyl dichlorosilane    7.23413    1272.21    250.69    -90.6    209.85
methyl decyl sulfide    7.09661    1759.04    170.4    196.85    296.85
methyl cyanoacetate    7.53151    1895.57    202.5    -13.07    413.85
methyl chlorosilane    7.04725    1054.78    244.46    -134.1    168.85
methyl chloroformate    7.44868    1364.54    227.876    -81.15    251.85
methyl chloroacetate    7.40326    1554.93    214.006    -32.12    326.85
methyl chloride    7.15229    963.608    249.811    -97.72    143.1
methyl butyl sulfide    7.14399    1490.96    226.299    74.215    317.85
methyl butyl ether    7.10128    1182.58    210    0.266964    228.85
methyl butanoate    7.20355    1402.13    221.612    -85.8    281.35
methyl bromide    7.34062    1146.12    253.43    -93.68    193.85
methyl benzoate    7.3207    1825.16    211.583    -12.4    419.85
methyl alcohol    8.09126    1582.91    239.096    -97.68    239.43
methyl acrylate    7.29607    1387.88    234.137    -76.83    262.85
methyl acetoacetate    7.53543    1813.98    218.017    -80    368.85
methyl acetate    7.28036    1276.29    233.155    -98    233.65
methyl 3-methylbutyl ether    6.97119    1227.11    210    13.3523    260.504
methyl 2,2-dimethylpropyl ether    6.84847    1162.52    210    6.43039    258.75
methyl 2-methylbutyl ether    6.97119    1227.11    210    13.3523    260.504
methyl 1,2-dimethylpropyl ether    6.90692    1179.65    210    7.25468    254.437
methyl 1,1-dimethylpropyl ether    6.85338    1177.07    210    8.93868    263.679
methyl 1-methylbutyl ether    6.9727    1231.66    210    14.1179    261.973
methyl 1-ethylpropyl ether    6.96815    1218.03    210    11.8211    257.565
methoxyacetic acid    7.65398    1849.97    182.467    7.85    417.85
methanol    8.0724    1574.99    238.87    -16    91
methanol    8.08097    1582.271    239.726    15    84
methanethiol    7.03163    1015.547    238.706    -70    25
methanesulfonic acid    9.21833    3354.46    241.453    19.66    287.85
methane    6.69561    405.42    267.777    -181    -152
methane    6.6438    395.74    266.681    -182    -158
methane    6.84566    435.621    271.361    -182.48    -82.57
methacrylonitrile    7.31473    1521.42    252.833    -35.8    280.85
methacrylic acid    7.31085    1534.44    185.373    15    369.85
methacrolein    7.12901    1298.1    237.564    -81    256.85
meso-2,4-pentanediol    9.50761    3141.1    273    118.147    357.296
meso-2,4-dimethyl-1,5-pentanediol    9.56529    3396.12    273    146.887    386.957
meso-2,3-dimethyl-1,4-butanediol    9.53875    3307.6    273    137.289    379.562
meso-2,3-dichlorobutane    6.67983    1117.89    178.257    36.6093    319.7
meso-2,3-dibromobutane    7.01039    1339.81    167.143    74.9947    378.198
meso-2,3-butanediol    9.47429    2979.26    273    99.5396    335.921
mesitylene    7.07436    1569.622    209.578    49    193
mesitylene    7.26105    1695.83    222.415    -44.69    364.21
mesityl oxide    7.11665    1480.62    219.745    -53    326.85
malononitrile    7.81263    2293.92    246.777    31.84    441.85
m-xylene    7.00908    1462.266    215.105    28    166
m-xylene    7.00909    1462.266    215.11    29    166
m-xylene    7.18115    1573.02    226.671    -47.85    343.9
m-toluidine    7.41381    1909.19    217.775    -30.4    436
m-toluenediamine    7.61109    2208.99    182.99    98.1    530.85
m-terphenyl    7.56576    2631.92    184.933    86.85    651.7
m-phenylenediamine    7.92349    2597.74    228.301    60.85    550.85
m-nitrotoluene    7.86534    2473.15    264.314    16.05    460.85
m-nitroaniline    8.2219    2845.38    226.884    114    541.85
m-methylthiophenol    7.20546    1762.66    212.484    71.5652    443.189
m-methylstyrene    6.87928    1471.44    200    72    250
m-methylstyrene    7.23895    1742.14    228.144    -86.34    383.85
m-ethyltoluene    7.01582    1529.184    208.509    46    190
m-ethyltoluene    7.07202    1610.69    222.972    -95.54    364
m-ethylthiophenol    7.167    1756.95    198.91    141.123    450.995
m-ethylstyrene    7.06662    1644.77    202.891    91.3707    403.664
m-ethylphenol    6.99776    1542.16    170.08    150.42    445.65
m-divinylbenzene    7.25031    1855.2    225.079    -66.9    418.85
m-dinitrobenzene    7.67726    2265.85    172.552    90.85    531.85
m-diisopropylbenzene    7.01959    1711.81    210.423    -63.13    410.85
m-difluorobenzene    7.06582    1310.27    222.58    36    114
m-difluorobenzene    7.21033    1393.09    231.255    36    279.79
m-diethylbenzene    7.0036    1575.31    200.96    61    211
m-dichlorobenzene    7.3037    1782.4    230.01    53    202
m-dibromobenzene    7.22786    1893.89    217.673    -6.9    487.85
m-cymene    7.11317    1675.81    220.871    -63.71    383.85
m-cresol    7.508    1856.36    199.07    97    207
m-cresol    7.26723    1670.93    178.653    12.24    432.7
m-chlorotoluene    7.1374    1620.34    218.365    53.4449    387.029
m-chlorophenol    7.95713    2396.76    258.295    32.85    455.85
m-chloronitrobenzene    7.42076    1956.77    195.411    44.5    468.85
m-chlorobenzoyl chloride    7.54675    2099.23    225.056    6.85    450.85
m-chloroaniline    7.40372    1952.27    203.141    -10.4    477.85
ketene    6.9573    803.1    238.01    -103    -18
isopropyl-tert-butyl-ether    6.62913    1257.6    230.01    41    134
isopropyl-sulfide    6.87118    1327.12    212.55    13    147
isopropyl-nitrate    6.42006    1018.568    183.528    0    70
isopropyl-methyl-sulfide    6.90196    1232.17    221.67    -13    109
isopropyl-ether    7.0971    1257.6    230.01    -24    91
isopropyl-alcohol    8.1182    1580.92    219.62    0    101
isopentyl isovalerate    7.75828    2194.42    255.911    -58.15    363.85
isopentyl isovalerate    7.75828    2194.42    255.911    -58.15    363.85
isopentyl formate    7.20108    1483.57    219.297    19.9463    304.85
isopentyl formate    7.20108    1483.57    219.297    19.9463    304.85
isopentyl acetate    7.19136    1566.48    221.306    -78.5    325.85
isopentyl acetate    7.19136    1566.48    221.306    -78.5    325.85
isopentane    8.1122    1592.864    226.184    20    93
isopentane    7.03015    1140.45    247.012    -159.9    187.28
isopentane    7.03015    1140.45    247.012    -159.9    187.28
isodecanol    8.0139    2167.2    202.353    -60    370.85
isodecanol    8.0139    2167.2    202.353    -60    370.85
isobutyronitrile    7.21591    1390.7    217    49    127
isobutyronitrile    7.22199    1443.15    228.824    -71.45    291.85
isobutyronitrile    7.22199    1443.15    228.824    -71.45    291.85
isobutyric acid    7.83371    1878.15    224.503    -46    336
isobutyric acid    7.83371    1878.15    224.503    -46    336
isobutyraldehyde    7.27632    1294.63    230.435    -65    233.85
isobutyraldehyde    7.27632    1294.63    230.435    -65    233.85
isobutylcyclopentane    6.95436    1461.75    210.89    34.6027    344.06
isobutylcyclopentane    6.95436    1461.75    210.89    34.6027    344.06
isobutylbenzene    7.22936    1726.18    224.166    -51.45    377
isobutylbenzene    7.22936    1726.18    224.166    -51.45    377
isobutylamine    7.31147    1329.9    232.428    -84.6    240.58
isobutylamine    7.31147    1329.9    232.428    -84.6    240.58
isobutyl propanoate    6.73991    1194.11    172.829    35.2085    318.85
isobutyl propanoate    6.73991    1194.11    172.829    35.2085    318.85
isobutyl mercaptan    7.13583    1389.59    238.087    -144.84    285.85
isobutyl mercaptan    7.13583    1389.59    238.087    -144.84    285.85
isobutyl isocyanide    6.89754    1180.5    183.897    33.8913    290.016
isobutyl isocyanide    6.89754    1180.5    183.897    33.8913    290.016
isobutyl isobutyrate    7.13476    1554.49    217.922    -80.7    328.85
isobutyl isobutyrate    7.13476    1554.49    217.922    -80.7    328.85
isobutyl formate    7.48932    1586.24    246.128    -95.8    278.2
isobutyl formate    7.48932    1586.24    246.128    -95.8    278.2
isobutyl butanoate    7.12551    1576.62    214.532    50.4729    337.85
isobutyl butanoate    7.12551    1576.62    214.532    50.4729    337.85
isobutyl acrylate    7.28452    1545.97    219.06    -61.15    306.85
isobutyl acrylate    7.28452    1545.97    219.06    -61.15    306.85
isobutyl acetate    7.42094    1584.82    232.421    -98.85    287.85
isobutyl acetate    7.42094    1584.82    232.421    -98.85    287.85
isobutene    6.99506    984.226    246.124    -140.34    144.75
isobutene    6.99506    984.226    246.124    -140.34    144.75
isobutanol    7.45936    1386.1    195.079    -108    274.58
isobutanol    7.45936    1386.1    195.079    -108    274.58
isobutane    6.93388    953.92    247.077    -159.61    134.99
isobutane    6.93388    953.92    247.077    -159.61    134.99
iodomethane    6.988    1146.34    236.66    -13    52
iodoform    7.42936    2270.36    281.13    137    521.4
iodoethane    6.959    1232    229    30    60
iodobenzene    7.0119    1640.13    208.78    17    197
iodobenzene    7.1286    1736.98    220.463    -31.32    448
indole    7.18748    1870.12    181.239    0.53    516.85
indene    7.11961    1655.45    207.927    -1.45    413.85
indane    7.19185    1723.24    221.757    -51.41    411.75
hydroxycaproic acid    8.39777    2557.41    160.705    60.85    484.85
hydrogen cyanide    8.02579    1608.28    286.893    -13.24    183.5
hydrazobenzene    7.54296    2186.08    169.05    131    518.85
hydracrylonitrile    8.73052    2834.99    263.638    -46    416.85
hexylene glycol    8.61143    2229.3    191.516    -50    347.85
hexylcyclopentane    7.08212    1694.02    200.103    78    394.52
hexylcyclohexane    7.07462    1764.46    196.02    94    418.66
hexylbenzene    6.9853    1700.5    188.2    96    258
hexylbenzene    7.29541    1948.01    215.155    -61.15    424.85
hexylamine    7.34589    1579.36    222.214    -21.3    309.85
hexyl-sulfide    5.81251    1421.32    205.81    166    333
hexyl-propyl-sulfide    6.23448    1421.32    205.81    129    258
hexyl-methyl-sulfide    6.65279    1421.32    205.81    99    203
hexyl-disulfide    6.9632    1824.9    153.5    153    328
hexyl-alcohol    7.8604    1761.26    196.67    35    157
hexyl propanoate    6.88448    1438.51    169.299    96.7299    366.85
hexyl mercaptan    7.19912    1628.29    224.406    -80.53    349.85
hexyl formate    6.92151    1333.68    174.562    70.4022    339.15
hexyl butanoate    6.81383    1463.2    166.031    108.146    384.05
hexyl acetate    7.47682    1820.45    224.594    -80.9    344.85
hexatriacontylcyclopentane    5.04958    1379.63    104.138    282.048    582
hexatriacontylcyclohexane    6.68516    2100    14    260.587    588
hexatriacontylbenzene    6.71994    2100    14    260.902    583
hexatriacontylamine    8.73437    4718.85    273.15    407.575    583
hexatriacontane    7.16373    2364.6    55.1    262.005    548.025
hexanoic acid    7.47273    1747.23    174.802    -3    393.85
hexanenitrile    7.57546    1927.95    247.07    -80.3    348.9
hexane    6.87024    1168.72    224.21    -25    92
hexane    6.91058    1189.64    226.28    -30    170
hexane    6.9895    1216.92    227.451    -95.31    234.28
hexanal    6.71442    1316    215.01    64    156
hexanal    7.34663    1588.31    227.359    -56    305.85
hexamethyleneimine    7.1137    1427.99    205.657    -37    341.85
hexamethylenediamine    7.54526    1828.87    190.197    40.8    389.85
hexamethyldisiloxane    7.12803    1433.96    237.103    -68.22    245.55
hexamethyldisilazane    7.30838    1581.26    231.139    20    270.85
hexamethylcyclotrisiloxane    6.89602    1350.23    201.168    64    281.05
hexamethylbenzene    7.15544    2133.55    235.68    178    300
hexamethylbenzene    7.39576    2358.05    258.827    178    484.85
hexamethyl phosphoramide    8.0642    2397.83    229.599    7    233
hexafluoropropylene    6.93705    900.849    251.69    -156.5    94.85
hexafluoroethane    6.7933    657.06    246.22    -103    -73
hexafluoroethane    6.99088    723.544    254.242    -100.7    19.65
hexafluorobenzene    7.033    1227.98    215.5    -3    117
hexafluorobenzene    7.22141    1329.93    226.134    5.1    243.58
hexafluoroacetone    7.04955    872.277    236.513    -125.45    83.99
hexaethylbenzene    7.50288    2360.733    212.652    134    298
hexaethylbenzene    7.6139    2455.63    220.811    134    461.63
hexadecylcyclopentane    6.91514    1897.48    106.324    215    524.1
hexadecylcyclohexane    6.95175    2003.81    113.214    224    540.27
hexadecylbenzene    6.59124    1709.22    83.6545    231.985    537.35
hexadecylamine    7.48138    2275.78    166.673    187.658    484.35
hexadecyl-propyl-sulfide    5.28246    1421.32    205.81    227    468
hexadecyl-methyl-sulfide    5.39727    1421.32    205.81    212    434
hexadecyl propanoate    8.13369    3200    190    369.19    469.19
hexadecyl formate    9.10049    3500    190    322.73    422.73
hexadecyl butanoate    5.10929    1000    6.66667    335.632    492.07
hexadecyl acetate    7.71781    2500    190    276.85    376.85
hexadecanoic acid    8.58266    3341.95    235.116    62.51    502.85
hexadecanenitrile    7.33475    2142.14    144.954    256.59    494.981
hexadecane    7.02867    1830.51    154.45    149    321
hexadecane    7.36235    2094.08    180.407    18.17    447.45
hexadecanal    7.60512    2321.81    180.46    171.056    466.952
hexacosylcyclopentane    6.40455    2016.72    108.323    300.961    514
hexacosylcyclohexane    6.1268    1576.82    11.777    209.476    524
hexacosylbenzene    6.24846    1635.45    15.6376    209.99    520
hexacosylamine    6.1621    1485.48    3.7122    341.956    611.838
hexacosane    7.10961    2164.3    99.6    192.453    462.202
hexachloroethane    7.08633    1626.945    197.048    33    186
hexachloroethane    6.69959    1377.5    173.867    33    424.85
hexachlorocyclopentadiene    7.09079    1829.59    195.584    11.34    472.85
hexachlorobenzene    9.78602    4597.57    355.961    114    309
hexachlorobenzene    6.63176    1444.53    75.7115    228.55    551.85
hexachloro-1,3-butadiene    6.60811    1484.18    183.191    -21    467.85
heptylcyclopentane    7.11422    1770.7    194.118    95    405.85
heptylcyclohexane    7.10051    1835.18    189.998    111    435.48
heptylbenzene    7.25666    1945.86    198.582    -48    440.85
heptylamine    7.38735    1682.44    216.434    -19    333.85
heptyl-sulfide    5.61512    1421.32    205.81    187    376
heptyl-propyl-sulfide    6.06898    1421.32    205.81    143    285
heptyl-methyl-sulfide    6.42693    1421.32    205.81    115    231
heptyl-disulfide    6.9602    1878.6    139.8    175    357
heptyl-alcohol    6.6476    1140.64    126.56    60    176
heptyl propanoate    6.8848    1503.8    165.575    112.511    386.45
heptyl mercaptan    7.21232    1700.98    215.759    -43.23    371.85
heptyl formate    6.94976    1418.49    170.515    88.6828    360.45
heptyl butanoate    6.82421    1528.67    162.554    123.335    402.35
heptyl acetate    7.00947    1541.36    180.932    75.5563    370.75
heptatriacontylamine    8.74357    4767.3    273.15    407.052    590
heptatriacontane    7.16756    2380    51.2    267.821    555.071
heptanoic acid    7.32832    1656.28    149.408    -7.32    406.85
heptanenitrile    7.03431    1467.06    168.71    95.2825    369.946
heptane    6.89385    1264.37    216.636    -2    123
heptane    6.89386    1264.37    216.64    -3    127
heptane    7.04605    1341.89    223.733    -90.59    267.11
heptanal    5.47587    686.453    111.817    12    155
heptadecylcyclopentane    6.9848    2027.13    116.941    251.114    535.639
heptadecylcyclohexane    6.9428    2046.35    112.781    144.855    550.825
heptadecylbenzene    7.08791    2133.92    118.218    145.622    549.855
heptadecylamine    7.56304    2397.6    169.063    198.793    494.65
heptadecyl-propyl-sulfide    5.23473    1421.32    205.81    233    484
heptadecyl-methyl-sulfide    5.3364    1421.32    205.81    220    452
heptadecyl propanoate    8.25996    3400    190    392.07    492.07
heptadecyl formate    9.11363    3650    190    345.61    445.61
heptadecyl butanoate    5.10563    1050    7    336.632    514.95
heptadecyl acetate    7.6754    2550    190    291.85    391.85
heptadecanoic acid    7.35248    2072.1    100.784    176.85    516.001
heptadecanenitrile    7.33198    2189.36    142.861    267.747    505.998
heptadecane    7.0143    1865.1    149.2    161    337
heptadecane    7.25896    2028.11    161.086    21.98    460.22
heptadecanal    7.59576    2366.09    176.828    181.901    479.053
heptacosylcyclopentane    6.27543    1965.46    106.993    302.622    522
heptacosylcyclohexane    6.23447    1650    11    215.4    531
heptacosylbenzene    6.1121    1546.49    1.60011    215.845    527
heptacosylamine    5.76543    1350    9    347.451    509
heptacosane    7.11471    2188.5    94.8    200.296    472.04
hentriacontylcyclopentane    5.72218    1718.57    103.839    301.001    551
hentriacontylcyclohexane    6.43623    1850    12.3333    237.163    558
hentriacontylbenzene    6.46377    1850    12.3333    237.621    554
hentriacontylamine    8.7196    4485.06    273.15    399.974    545
hentriacontane    7.14547    2276.9    75.9    230.274    509.238
heneicosylcyclopentane    6.76888    2033    102.882    281.3    576.979
heneicosylcyclohexane    6.49605    1785.33    61.8343    176.335    590.993
heneicosylbenzene    6.64024    1865.35    67.1797    176.968    587.777
heneicosylamine    7.19297    2231.36    122.458    304.788    549.252
heneicosanenitrile    7.19134    2290.31    134.33    306.849    550.897
heneicosane    7.07687    2022.5    125.5    148.625    406.5
halothane    6.55116    951.73    209.103    -50    247.85
guaiacol    7.89985    2204.47    234.222    31.5    423.85
glyceryl triacetate    7.74878    2162.45    185.221    4.1    430.85
glycerol    9.90788    3821.36    253.806    18.18    449.85
glutaronitrile    7.85683    2587.97    234.088    -28.94    508.85
glutaric anhydride    7.88053    2538.84    218.256    54.85    564.85
glutaric acid    8.04576    2432.01    148.479    97.5    533.85
gamma-terpinene    7.13775    1703.3    217.124    -53.15    387.85
gamma-butyrolactone    7.67415    2147.61    244.041    -43.37    465.85
furfuryl alcohol    8.2317    2128.37    227.76    -14.63    358.85
furfural    7.71516    1917.45    234.93    -36.5    383.85
furan    6.9753    1060.85    227.75    -35    90
furan    7.13277    1145.36    238.023    -85.6    217
fumaric acid    7.50353    1665.01    70.1806    287    497.85
formic-acid    7.3779    1563.28    247.07    -2    136
formic acid    8.41278    2247.58    305.729    8.4    306.85
formate    7.95491    2424.89    150.926    223.413    463.55
formanilide    7.53199    2137.43    188.545    50    513.85
formamide    7.63804    2012.7    203.234    2.55    497.85
formaldehyde    7.1561    957.24    243.01    -88    -2
formaldehyde    7.46432    1078.39    254.377    -92    134.85
fluoromethane    7.0976    740.22    253.89    -132    -64
fluoroform    7.18249    725.191    250.743    -155.18    25.74
fluoroethene    6.33949    593.551    243.111    -149    -72
fluoroethane    6.9785    854.21    246.16    -103    -21
fluorobenzene    7.187    1381.83    235.57    -23    97
fluorobenzene    7.13144    1351.52    233.227    -42.21    286.94
fluorene    7.31877    2211.16    200.948    114.79    596.85
fluoranthene    7.85111    3122.76    245.485    110.18    631.85
ethynylbenzene    6.957    1445.58    209.44    82    172
ethynylbenzene    6.87809    1377.31    201.512    82    382.28
ethylundecylamine    6.988    1560.45    120.933    157.813    419.95
ethyltritriacontylamine    8.89    4633.98    273.15    385.347    548
ethyltridecylamine    7.42041    2059.21    161.611    185.65    447.45
ethyltricosylamine    6.19192    1411.68    11.3466    316.343    569.44
ethyltriacontylamine    8.90964    4516.5    273.15    380.272    526
ethyltetratriacontylamine    8.92134    4700.44    273.15    385.876    555
ethyltetradecylamine    7.71755    2419.13    193.157    198.484    459.65
ethyltetracosylamine    5.87851    1300    8.66667    322.447    475
ethylsulfide    6.92836    1257.833    218.662    -6    117
ethylpropylamine    6.90202    1095.37    192.099    9.8168    246.85
ethylpentylamine    7.0104    1303.5    181.649    53.9257    301.85
ethylpentatriacontylamine    8.91205    4729.39    273.15    385.126    561
ethylpentadecylamine    7.84024    2589.03    200.042    211.502    471.05
ethyloctylamine    7.13621    1578.08    168.843    110.015    369.25
ethyloctatriacontylamine    8.94057    4866.89    273.15    381.24    580
ethyloctadecylamine    7.98414    2870.99    201.573    244.589    500.75
ethyloctacosylamine    8.89387    4408.47    273.15    338.185    510
ethylnonylamine    6.60191    1163.38    90.6435    126.711    387.65
ethylnonadecylamine    6.95647    1924.23    99.1269    286.526    522.122
ethylnonacosylamine    8.88484    4449.89    273.15    377.14    518
ethylisopropylamine    6.93178    1090.83    193.277    6.70487    240.65
ethylisobutylamine    6.94749    1165.73    188.656    24.4444    264.972
ethylidene diacetate    6.9943    1371.33    164.375    18.85    361.85
ethylhexylamine    7.04831    1395.85    176.937    73.6108    326.65
ethylhexatriacontylamine    8.93343    4788.53    273.15    384.793    568
ethylhexadecylamine    7.76234    2550.59    187.499    221.997    481.65
ethylhexacosylamine    5.97588    1400    9.33333    331.663    493
ethylheptylamine    7.08904    1487.11    172.681    92.31    349.05
ethylheptatriacontylamine    8.91655    4811.39    273.15    383.211    574
ethylheptadecylamine    7.86353    2700.14    193.901    233.198    491.55
ethylheptacosylamine    6.02161    1450    9.66667    335.585    502
ethylhentriacontylamine    8.89065    4544.34    273.15    382.108    533
ethylheneicosylamine    6.60351    1688.72    58.6294    302.975    545.633
ethylenimine    7.1323    1133.7    210.01    -25    86
ethyleneimine    7.13426    1171.65    219.609    -77.95    263.85
ethylenediamine    7.64595    1600.32    218.58    11.14    319.85
ethylene-oxide    7.2701    1115.1    244.15    -73    37
ethylene-glycol    8.7945    2615.4    244.91    91    221
ethylene sulfide    7.14085    1244.63    237.244    -35    281.85
ethylene oxide    7.26969    1114.78    243.301    -112.44    196
ethylene glycol monopropyl ether    8.48552    2290.88    257.391    -90    308.85
ethylene glycol diacetate    7.03914    1418.58    150.643    -31    379.85
ethylene glycol    7.251620842    1448.565085    134.1182017    80    200
ethylene glycol    9.69941    3147.1    264.246    -13    371.85
ethylene carbonate    7.47542    1944.57    185.23    36.4    516.85
ethylene    6.74756    585    255    -153    -91
ethylene    6.96636    649.806    262.73    -169.14    9.21
ethyleicosylamine    6.77558    1798.48    77.7688    294.905    533.549
ethyldotriacontylamine    8.89717    4597.4    273.15    384.379    541
ethyldodecylamine    7.20606    1802.96    140.846    172.164    434.25
ethyldocosylamine    6.3895    1538.64    33.5243    309.842    557.178
ethyldecylamine    6.77185    1337.69    102.786    142.585    404.55
ethylcyclopropane    6.98612    1100.65    232.173    -11.4313    207.783
ethylcyclopentane    6.88709    1298.599    220.675    -3    129
ethylcyclopentane    7.09118    1429.42    236.03    -138.44    296.37
ethylcyclohexane    6.86728    1382.466    214.995    21    160
ethylcyclohexane    6.96671    1473.49    228.828    -111.31    336
ethylcyclobutane    6.96049    1208.34    225.586    18.0074    254.954
ethylbutylamine    7.00228    1214.51    186.679    33.1354    275.373
ethylbenzene    6.95719    1424.255    213.206    26    163
ethylbenzene    7.1561    1559.55    228.582    -95    344.02
ethylamine    7.3862    1137.3    235.86    -58    43
ethylamine    7.21885    1073.47    230.876    -81    183
ethylacetylene    7.1714    1070.62    241.457    -125.72    170.05
ethylacetoacetate    7.6595    1957.82    228.899    -39    369.85
ethyl-undecyl-sulfide    5.70756    1421.32    205.81    177    355
ethyl-tridecyl-sulfide    5.53347    1421.32    205.81    196    397
ethyl-tetradecyl-sulfide    5.46123    1421.32    205.81    204    416
ethyl-tert-butylamine    6.83428    1070.06    192.663    7.0805    243.882
ethyl-sec-butylamine    6.94749    1165.73    188.656    24.4444    264.972
ethyl-propyl-sulfide    6.9338    1341.57    212.51    14    145
ethyl-pentyl-sulfide    6.65279    1421.32    205.81    99    203
ethyl-pentadecyl-sulfide    5.39727    1421.32    205.81    212    434
ethyl-octyl-sulfide    6.06898    1421.32    205.81    143    285
ethyl-octadecyl-sulfide    5.23473    1421.32    205.81    233    484
ethyl-nonyl-sulfide    5.9321    1421.32    205.81    155    309
ethyl-nitrate    7.1637    1338.8    224.9    0    60
ethyl-methyl-sulfide    6.93849    1182.562    224.784    -26    90
ethyl-methyl-ether    5.8819    504.49    160.76    -68    37
ethyl-hexyl-sulfide    6.42693    1421.32    205.81    115    231
ethyl-hexadecyl-sulfide    5.3364    1421.32    205.81    220    452
ethyl-heptyl-sulfide    6.23448    1421.32    205.81    129    258
ethyl-heptadecyl-sulfide    5.28246    1421.32    205.81    227    468
ethyl-ether    6.92032    1064.07    228.8    -61    20
ethyl-disulfide    6.97507    1485.97    208.958    40    182
ethyl-alcohol    8.2133    1652.05    231.48    -3    96
ethyl-acetate    7.0146    1211.9    216.01    -13    112
ethyl-3-ethoxypropionate    7.44459    1710.72    209.847    -50.15    335.85
ethyl vinyl ether    7.14878    1179.62    240.84    -115.8    202
ethyl vanillin    8.18401    2413.87    161.324    77.5    474.85
ethyl undecyl sulfide    7.13871    1863.9    157.9    229.85    329.85
ethyl tridecyl sulfide    7.22529    1980.43    146    259.85    359.85
ethyl tetradecyl sulfide    7.22342    2014.32    140    273.85    373.85
ethyl tert-butyl ether    6.83271    1117.6    210    -1.32152    243.517
ethyl sec-butyl ether    6.95756    1187.15    210    6.6155    247.572
ethyl propyl sulfide    7.13461    1466.79    226.32    71.75    310.85
ethyl propyl ether    7.11567    1232.15    227.094    -127.5    227.08
ethyl propanoate    7.19297    1375.07    219.783    -73.9    272.85
ethyl pentyl sulfide    7.05063    1575.03    210.873    116.85    216.85
ethyl pentadecyl sulfide    7.25728    2069.41    135    287.85    387.85
ethyl octyl sulfide    7.16824    1809.06    195.094    176.85    276.85
ethyl octadecyl sulfide    7.18259    2111.53    119.001    321.85    421.85
ethyl nonyl sulfide    7.09661    1759.04    170.4    196.85    296.85
ethyl nitrate    7.17012    1338.7    224.891    -10    100
ethyl methacrylate    7.18289    1492.18    229.851    -50    303.85
ethyl mercaptan    7.1629    1202.03    245.711    -147.89    226
ethyl lactate    9.09091    2915.95    315.049    -26    314.85
ethyl isovalerate    7.23567    1578.65    228.203    -99.3    314.8
ethyl isopropyl ketone    6.99939    1276.64    196.572    -73.15    293.85
ethyl isopropyl ether    6.8725    1049.82    210    -15.4235    216.429
ethyl isocyanide    6.87239    1068.49    189.186    8.85578    262.179
ethyl isobutyl ether    6.9574    1186.69    210    6.53895    247.425
ethyl isobutanoate    7.37463    1561.51    237.631    -88.15    280
ethyl iodide    7.26806    1396.07    245.911    -111.1    287.85
ethyl hexyl sulfide    7.09805    1717.84    220.489    136.85    236.85
ethyl hexadecyl sulfide    7.13143    2069.41    135    301.85    401.85
ethyl heptyl sulfide    7.15298    1737.33    199.813    156.85    256.85
ethyl heptadecyl sulfide    7.20937    2103.03    124    311.85    411.85
ethyl formate    7.21764    1252.8    234.565    -79.6    235.25
ethyl fluoride    7.24052    957.955    257.429    -143.2    102.16
ethyl dodecyl sulfide    7.78265    2485.95    211.297    245.85    345.85
ethyl decyl sulfide    7.61843    2223.04    205.383    213.85    313.85
ethyl cyanoacetate    7.34501    1731.5    181.865    -22.5    405.85
ethyl chloroformate    8.05861    1577.17    211.753    -81.15    235
ethyl chloride    7.13047    1097.6    246.009    -136.4    187.2
ethyl butyl sulfide    7.16605    1570.05    222.126    84.63    335.85
ethyl butyl ether    7.2167    1400.33    230.763    -103    257.85
ethyl butanoate    7.3746    1613.76    237.608    -98    297.85
ethyl benzoate    7.50855    2047.03    228.94    -34.7    424.85
ethyl aluminum sesquichloride    8.00942    1908.3    163.09    -20    226.85
ethyl alcohol    8.13484    1662.48    238.131    -114.1    243.1
