chemical    a    b    c    t_min (celsius)    t_max (celsius)
trans-stilbene    7.14773    2030.21    169.302    124.2    546.85
trans-decahydronaphthalene    6.82768    1544.81    204.091    -30.36    413.9
trans-crotonitrile    7.45169    1653.01    240.409    -51.15    312.85
trans-crotonaldehyde    7.28193    1460.08    227.652    -76.5    297.85
trans-4-octene    7.05997    1464    228.05    -93.78    299.85
trans-4-methylcyclohexanol    7.56987    1652.14    181.341    54    348.85
trans-3-pentenoic acid    6.96831    1439.53    159.18    102.974    420.106
trans-3-octene    7.11187    1509.58    233.486    -110    300.85
trans-3-methylcyclohexanol    7.74609    1790.81    200.079    -0.5    343.85
trans-3-hexene    7.05706    1263.56    235.469    -113.42    235.85
trans-3-heptene    7.17463    1442.86    240.362    -136.63    266.85
trans-2,trans-4-hexadiene    6.97629    1249.62    223.221    -44.9    261.85
trans-2-pentenoic acid    6.96646    1459.4    157.202    108.659    430.517
trans-2-pentene    7.05181    1161.52    242.135    -140.26    202.22
trans-2-octene    7.09038    1501.41    231.665    -87.7    303.85
trans-2-methylcyclohexanol    8.03432    2068.83    234.941    -4    342.85
trans-2-methyl-2-butenoic acid    6.65803    1199.04    118.94    92.9783    433.113
trans-2-hexene    7.0103    1252.84    235.52    -132.98    239.85
trans-2-heptene    7.1336    1414.38    234.628    -109.48    269.85
trans-2-fluoro-2-butene    6.64591    862.248    202.011    -35.1927    194.679
trans-2-butenoic acid    7.49988    1701.16    183.292    71.4    392.85
trans-2-butene-1,4-diol    9.49439    3242.29    253.397    27.3    407.85
trans-2-butene    7.06654    1038.12    247.135    -105.53    155.48
trans-1,4-dimethylcyclohexane    6.87792    1369.34    223.224    -36.94    317
trans-1,3-pentadiene    6.73433    1039.11    227.633    -87.44    226.85
trans-1,3-dimethylcyclopentane    7.07206    1369.35    234.986    -133.97    279.85
trans-1,3-dimethylcyclohexane    6.89366    1402.52    225.047    -90.1    324.85
trans-1,2-dimethylcyclopentane    7.07143    1368.89    234.786    -117.57    280
trans-1,2-dimethylcyclohexane    6.92012    1420.58    228.259    -88.16    323
trans-1,2-difluoroethene    5.31401    491.359    227.23    -78    2.6
trans-1,2-difluoroethene    10.4281    3891.37    540.888    -78    121.52
trans-1,2-dichloroethene    6.9651    1141.9    231.9    -38    85
trans-1-propenylbenzene    6.9217    1462.53    191.924    105    391.45
trans-1-methyl-4-(1-propenyl)benzene    7.04816    1674.48    200.81    99.7589    422.04
trans-1-iodo-3-methyl-1-butene    6.62978    1157.82    171.326    53.3765    356.177
trans-1-iodo-2-methyl-1-butene    6.63748    1161.77    171.426    53.7078    355.654
trans-1-iodo-1-undecene    6.96081    1710.19    151.164    193.576    462.299
trans-1-iodo-1-tridecene    7.04904    1865.63    146.582    222.919    486.412
trans-1-iodo-1-tetradecene    7.08726    1940.44    144.3    237.13    498.421
trans-1-iodo-1-propene    6.61126    1016.02    180.169    17.726    309.637
trans-1-iodo-1-pentene    6.68153    1208.91    169.076    63.2111    368.023
trans-1-iodo-1-pentadecene    7.1202    2007.04    142.426    249.558    508.289
trans-1-iodo-1-octene    6.81674    1461.31    159.275    114.398    419.604
trans-1-iodo-1-octadecene    7.17203    2181.84    136.442    285.411    539.78
trans-1-iodo-1-nonene    6.86484    1546.84    156.261    130.844    435.47
trans-1-iodo-1-nonadecene    7.16957    2224.29    134.633    295.633    549.305
trans-1-iodo-1-hexene    6.72413    1293.37    165.524    80.9724    386.718
trans-1-iodo-1-hexadecene    7.14616    2070.62    140.453    261.91    518.672
trans-1-iodo-1-heptene    6.76948    1377.62    162.266    98.0379    403.863
trans-1-iodo-1-heptadecene    7.16381    2130.27    138.38    274.16    529.583
trans-1-iodo-1-eicosene    7.15514    2259.86    132.707    305.664    559.441
trans-1-iodo-1-dodecene    7.00642    1789.62    148.783    208.682    474.83
trans-1-iodo-1-decene    6.91334    1628.09    153.739    145.75    448.741
trans-1-iodo-1-butene    6.64197    1128.39    172.511    45.9637    349.944
trans-1-fluoro-3-methyl-1-butene    6.67678    921.607    199.146    -21.9022    209.758
trans-1-fluoro-2-methyl-1-butene    6.68457    924.918    199.199    -21.5846    209.48
trans-1-fluoro-2-butene    6.69721    860.982    204.401    -39.4646    182.1
trans-1-fluoro-1-undecene    6.99347    1461.15    173.922    90.9548    342.519
